fold,nearest_similarity,nearest_same_original_recording,retrieval_activated_at_selected_threshold
2,0.9754106,False,False
2,0.9351193,False,False
4,0.9345003,True,False
2,0.9936907,True,False
1,0.98997104,False,False
5,0.9936907,True,False
1,0.95574576,True,False
4,0.95255095,False,False
4,0.95574576,True,False
5,0.9796249,False,False
5,0.984475,False,False
5,0.9860737,False,False
1,0.9870658,False,False
2,0.9104897,False,False
2,0.9334816,False,False
4,0.82585615,False,False
1,0.94198835,False,False
1,0.8326456,False,False
2,0.89591825,True,False
4,0.9881307,False,False
1,0.9876485,False,False
4,0.9791538,False,False
1,0.9874358,False,False
4,0.93067026,False,False
3,0.8756373,False,False
4,0.90927655,False,False
1,0.99233985,False,False
4,0.9929058,False,False
4,0.9578147,False,False
5,0.98511195,False,False
1,0.97943664,False,False
4,0.94978094,False,False
3,0.98511195,False,False
2,0.97943664,False,False
2,0.97303826,True,False
3,0.8843479,False,False
5,0.97303826,True,False
1,0.9632541,True,False
3,0.9343387,False,False
3,0.9632541,True,False
2,0.97513354,False,False
5,0.96301734,False,False
2,0.9162617,False,False
4,0.9067037,True,False
2,0.99373704,False,False
5,0.98750466,False,False
5,0.98122287,False,False
5,0.98845613,False,False
2,0.9935642,False,False
3,0.9903307,False,False
1,0.96301734,False,False
3,0.9753207,False,False
2,0.9210154,False,False
5,0.9964418,False,True
1,0.99688447,False,True
1,0.9921269,False,False
1,0.9910102,False,False
4,0.99639857,False,True
2,0.9935197,False,False
4,0.99233985,False,False
5,0.9929058,False,False
3,0.93516475,False,False
1,0.9706361,False,False
5,0.99373704,False,False
3,0.98750466,False,False
2,0.99105763,False,False
1,0.88511664,False,False
2,0.9574713,False,False
3,0.9247086,False,False
3,0.9578147,False,False
5,0.9628944,False,False
1,0.9825984,False,False
1,0.989133,False,False
5,0.9894767,False,False
5,0.97293675,True,False
3,0.8940687,False,False
2,0.97293675,True,False
1,0.8148569,False,False
4,0.8104192,False,False
4,0.81301814,False,False
5,0.95192635,False,False
5,0.91665894,False,False
2,0.9889717,False,False
3,0.97513354,False,False
3,0.97046787,False,False
5,0.99578214,True,True
2,0.99578214,True,True
1,0.9615008,False,False
5,0.9753207,False,False
2,0.92336,False,False
3,0.99105763,False,False
3,0.91221005,False,False
1,0.92426276,False,False
3,0.93067026,False,False
1,0.8756373,False,False
3,0.90927655,False,False
5,0.99663144,True,True
3,0.99149334,False,False
4,0.99663144,True,True
4,0.9917773,True,False
2,0.9855365,False,False
3,0.9917773,True,False
3,0.8321812,False,False
1,0.7553579,False,False
3,0.8148569,False,False
3,0.93345094,False,False
5,0.9368329,False,False
2,0.92792577,True,False
3,0.98990023,False,False
3,0.9952533,False,False
2,0.9922694,False,False
4,0.907712,False,False
5,0.9301982,False,False
5,0.9889717,False,False
2,0.996526,False,True
4,0.9947095,False,False
5,0.97954917,False,False
2,0.9571284,False,False
4,0.9720243,False,False
2,0.9910102,False,False
1,0.996526,False,True
2,0.9947095,False,False
4,0.9875571,False,False
1,0.94116694,False,False
4,0.97788733,False,False
5,0.9596424,False,False
5,0.9963818,False,True
2,0.9593558,False,False
2,0.99678874,False,True
3,0.9973306,False,True
3,0.9963818,False,True
1,0.9807979,False,False
1,0.9959214,False,True
4,0.99884015,True,True
1,0.99678874,False,True
5,0.99884015,True,True
2,0.99149334,False,False
1,0.99479824,False,False
4,0.978446,True,False
3,0.9495845,False,False
3,0.978446,True,False
5,0.87883544,False,False
3,0.9265772,False,False
3,0.98756933,False,False
4,0.9812987,False,False
5,0.98109496,True,False
5,0.98756933,False,False
3,0.9812987,False,False
1,0.9035379,True,False
3,0.9141695,False,False
2,0.91562545,False,False
1,0.96219903,True,False
3,0.96219903,True,False
3,0.9594715,False,False
2,0.886211,False,False
1,0.96877724,False,False
3,0.97091985,False,False
4,0.96375495,False,False
5,0.9454444,True,False
2,0.8784687,False,False
2,0.9454444,True,False
4,0.9982882,False,True
4,0.9994103,False,True
4,0.9983376,False,True
3,0.9975227,False,True
2,0.99634886,False,True
4,0.99897134,False,True
2,0.9994103,False,True
4,0.99888265,False,True
3,0.99897134,False,True
5,0.9991036,False,True
2,0.99888265,False,True
3,0.9985227,False,True
5,0.9983913,False,True
3,0.9980549,False,True
3,0.99946654,False,True
3,0.99959993,False,True
3,0.998153,True,True
2,0.99787015,False,True
4,0.99959993,False,True
3,0.9988024,False,True
2,0.9970586,False,True
5,0.9983871,True,True
1,0.9988024,False,True
2,0.9983871,True,True
3,0.95413315,True,False
2,0.95413315,True,False
1,0.9820161,False,False
5,0.93291986,False,False
5,0.95915025,False,False
1,0.9386847,False,False
1,0.9765241,False,False
4,0.98201936,False,False
2,0.9765241,False,False
5,0.98201936,False,False
2,0.97495,False,False
4,0.97924495,False,False
5,0.9844514,False,False
2,0.9845121,False,False
4,0.9796984,False,False
2,0.9844514,False,False
3,0.9845121,False,False
5,0.9862282,False,False
5,0.9840046,False,False
4,0.975798,False,False
5,0.9690575,False,False
4,0.9642671,False,False
1,0.9862282,False,False
5,0.9820161,False,False
4,0.97890985,False,False
4,0.99680734,False,True
4,0.99618655,False,True
2,0.99686617,False,True
1,0.9929947,False,False
3,0.99618655,False,True
2,0.9919788,False,False
3,0.9929947,False,False
3,0.9952201,False,False
1,0.99238634,False,False
2,0.9857789,False,False
5,0.9661253,False,False
3,0.9878089,False,False
5,0.9718594,False,False
4,0.98694396,True,False
4,0.9946915,False,False
5,0.98934495,False,False
3,0.99680734,False,True
1,0.99686617,False,True
3,0.98956835,True,False
1,0.98978794,False,False
1,0.98956835,True,False
2,0.98688924,True,False
3,0.9946915,False,False
3,0.98934495,False,False
1,0.9844662,True,False
5,0.9844662,True,False
4,0.99959826,False,True
4,0.99973893,False,True
4,0.9997042,False,True
3,0.999769,False,True
1,0.99751425,False,True
4,0.9981333,False,True
4,0.9974224,False,True
3,0.99971604,False,True
2,0.9997024,False,True
2,0.999621,False,True
5,0.9997014,False,True
2,0.9997718,False,True
2,0.9996793,False,True
5,0.99971604,False,True
5,0.99965155,False,True
1,0.99972486,False,True
4,0.9996793,False,True
1,0.9997014,False,True
1,0.9997718,False,True
5,0.9959608,False,True
1,0.99618745,False,True
1,0.9996024,False,True
3,0.9997487,False,True
3,0.9997042,False,True
2,0.9831153,False,False
2,0.98076713,False,False
3,0.99457633,False,False
4,0.9742012,False,False
5,0.9899705,False,False
1,0.99457633,False,False
1,0.9899705,False,False
5,0.9074081,False,False
4,0.91162837,False,False
1,0.9612645,False,False
1,0.9628949,False,False
1,0.9956237,False,True
1,0.9909648,False,False
3,0.9924848,False,False
3,0.9962144,False,True
4,0.9909648,False,False
2,0.9962144,False,True
2,0.9924848,False,False
2,0.9628949,False,False
3,0.99375606,False,False
1,0.99375606,False,False
2,0.9803556,False,False
5,0.9882915,False,False
1,0.987022,False,False
1,0.9882915,False,False
2,0.987022,False,False
5,0.96721524,False,False
5,0.96332866,False,False
4,0.9576601,False,False
2,0.9584094,False,False
1,0.9576601,False,False
4,0.9209968,False,False
5,0.9584094,False,False
5,0.9447969,True,False
5,0.8862592,False,False
4,0.9581593,False,False
4,0.98829246,False,False
4,0.9667694,False,False
3,0.97923493,False,False
5,0.98829246,False,False
5,0.9667694,False,False
2,0.97923493,False,False
1,0.9959121,False,True
5,0.9968633,False,True
1,0.994679,False,False
2,0.99685353,False,True
1,0.9958984,False,True
4,0.99339277,True,False
4,0.9893539,True,False
2,0.99339277,True,False
5,0.9961357,False,True
3,0.99999696,False,True
5,0.9961381,False,True
2,0.99999696,False,True
3,0.993787,False,False
3,0.99685353,False,True
1,0.9968633,False,True
4,0.98313814,False,False
2,0.9801515,False,False
1,0.9835983,False,False
5,0.98313814,False,False
1,0.9801515,False,False
4,0.9835983,False,False
1,0.7393206,False,False
5,0.69920504,False,False
1,0.68908894,False,False
1,0.93665844,True,False
2,0.6950672,False,False
5,0.93665844,True,False
1,0.99321765,True,False
4,0.96748847,False,False
3,0.99321765,True,False
4,0.99244803,True,False
1,0.99244803,True,False
3,0.98662996,True,False
3,0.9444562,False,False
4,0.98662996,True,False
5,0.9711094,True,False
3,0.9711094,True,False
4,0.94366837,True,False
2,0.77452487,False,False
3,0.94366837,True,False
5,0.94436944,True,False
4,0.69920504,False,False
3,0.94436944,True,False
1,0.7700583,False,False
5,0.9770726,True,False
1,0.9770726,True,False
3,0.9274623,False,False
2,0.88839465,False,False
3,0.8712325,False,False
5,0.9539932,False,False
1,0.94008946,False,False
3,0.94008946,False,False
1,0.9908085,True,False
2,0.9598001,False,False
2,0.9908085,True,False
5,0.9914307,True,False
5,0.9698299,False,False
2,0.9914307,True,False
4,0.9182719,False,False
4,0.91972256,False,False
3,0.96683866,False,False
5,0.95697397,False,False
5,0.9559034,False,False
5,0.97886646,True,False
4,0.9409338,False,False
3,0.97886646,True,False
4,0.95563996,False,False
2,0.95923537,False,False
2,0.9807935,False,False
5,0.9797766,False,False
2,0.98025984,False,False
5,0.9906595,False,False
5,0.99340355,False,False
5,0.97435075,True,False
4,0.8019308,False,False
4,0.97435075,True,False
5,0.82101107,False,False
4,0.78612554,False,False
5,0.9735909,True,False
1,0.7987983,False,False
3,0.9735909,True,False
1,0.73946935,False,False
2,0.78273773,False,False
4,0.86220884,True,False
5,0.6122451,False,False
1,0.86220884,True,False
3,0.72560334,False,False
1,0.80136055,False,False
3,0.73716176,False,False
5,0.9840475,True,False
4,0.8614676,False,False
2,0.9840475,True,False
5,0.9910493,True,False
4,0.96566546,False,False
1,0.9910493,True,False
1,0.9704908,False,False
5,0.9674866,False,False
1,0.96228284,False,False
4,0.9918051,True,False
2,0.9918051,True,False
